setting,src,tgt,interval,unknown,unknown_name,n_src,n_tgt,n_unknown_tgt,d_novel_maha,d_drift_maha,DNR_maha,d_novel_euclid,d_drift_euclid,DNR_euclid,d_novel_energy,d_drift_energy,DNR_energy,AUROC_maha,AUROC_knn,AUROC_msp,MMD_drift,MMD_novel,MMD_ratio,PAD_drift,DNR_maha_mean,d_novel_maha_mean,d_drift_maha_mean,AUROC_maha_mean,DNR_maha_coral,d_novel_maha_coral,d_drift_maha_coral,AUROC_maha_coral,pair
Setting 1,1,10,9,2,Ethylene,445,3600,600,20.300456613618014,22.43270891095662,1.1050346964071853,7.690053320682616,11.4568836772271,1.4898315004414193,4.835263514382833,9.571914007762793,1.9796054505179415,0.5257783333333332,0.48435500000000004,0.6033483333333334,0.135948888413163,0.18216395746942537,0.7462995990081124,1.936,1.0218726717325153,15.547241843596924,15.887301560787943,0.6768177777777777,0.359913349355965,16.37071628596402,5.892039329837553,0.7319416666666667,1->10
Setting 1,1,10,9,3,Ammonia,445,3600,600,36.27544485975903,26.470269760204303,0.7297021404572278,9.449448157494128,11.275092905185666,1.193201202574318,6.490407097852469,9.480224445079793,1.4606517437429447,0.7007105555555556,0.600955,0.25149,0.15477572046211352,0.24681498764482424,0.6270920657575358,1.952,0.6903348284887707,26.731931212098463,18.453983148477608,0.8074300000000001,0.28922067057583833,25.5964056083477,7.403009594377471,0.7477427777777779,1->10
Setting 1,1,10,9,4,Acetaldehyde,445,3600,600,13.077333682250794,26.045622464759,1.9916615341940391,7.346710782621819,10.050245984636714,1.3679925999550624,6.602532999803948,7.747207309425295,1.1733689645557752,0.22246222222222223,0.30320555555555556,0.5931183333333333,0.1067752827641959,0.31544108278947136,0.3384951694306059,1.936,1.5471492838206253,11.321502656725631,17.516054727126367,0.17829111111111112,1.0463179771378712,4.259703015772154,4.45700384267081,0.3136838888888889,1->10
Setting 1,1,10,9,5,Acetone,445,3600,600,60.130624268427226,20.91104788257478,0.3477603656537213,30.642795289402375,9.290842307694074,0.3031982630810204,24.688002815681713,8.16236091905148,0.3306205439132072,0.8221494444444443,0.8307916666666668,0.5190411111111111,0.1218494412234361,0.32559438044861577,0.3742369295672349,1.904,0.3365065032018294,46.47157544861277,15.637987352492669,0.8279838888888889,0.2945371092771612,21.030251982605908,6.194189626327033,0.9391755555555555,1->10
Setting 1,1,10,9,6,Toluene,445,3600,600,16.34463198082365,24.691881316424826,1.510702801102808,7.964602176086837,10.601169365753766,1.331035641376168,7.337302169529705,8.214409384409354,1.1195408332127976,0.38023000000000007,0.30471,0.3542388888888889,0.09333931931363049,0.3838352114695457,0.24317549960117776,1.984,1.4280915701801993,11.703594025810645,16.713803969071524,0.3204988888888889,0.8083462234663845,6.259199184341007,5.0596000225859274,0.4570155555555555,1->10
Setting 2,1,2,1,1,Ethanol,445,1244,164,904.4396497954667,27.508147964310627,0.030414575445173616,89.73216647623067,7.9465266159629895,0.08855828325584851,7.72881787730503,5.745945200935264,0.7434442488039095,0.6233005871725383,0.6493281391147245,0.21752201897018975,0.06760050519818472,0.16802820135774343,0.40231642457600714,1.8719999999999999,0.1552638513131467,785.4238384252691,121.94793006706195,0.6068766937669376,0.7248761777031573,7.123180213248331,5.1634236460702105,0.8748475609756097,1->2
Setting 2,1,2,1,2,Ethylene,445,1244,334,52.63918812392332,206.77730098721784,3.928200801661723,15.660359747092471,28.15872894911905,1.7980895333101812,10.140536019801639,7.062989877426128,0.6965105063119029,0.665578732644601,0.6840922550503389,0.12332532736724355,0.13031102325463673,0.28152606378452427,0.4628737442739042,1.92,2.259774426424738,108.35171875700537,244.85044310624633,0.8082450483648088,0.4706083926650404,13.800689423322318,6.494720267179139,0.7583207211949727,1->2
Setting 2,1,2,1,3,Ammonia,445,1244,100,33.29800701593971,311.75990742663714,9.362719735069973,7.387566236015978,35.90791943750601,4.860588492925744,6.88491339331526,7.259767614777512,1.0544457424586062,0.7604020979020979,0.5459090909090909,0.10824300699300701,0.10009670012801464,0.2825488346713607,0.3542633620996508,1.8399999999999999,2.3045667848207523,154.63725809548018,356.37188870259763,0.927805944055944,0.23779372208893643,35.18340802289458,8.36639354953785,0.8036013986013986,1->2
Setting 2,1,2,1,4,Acetaldehyde,445,1244,109,21.060788897493918,251.46340269800677,11.93988524940436,7.225184642017754,28.71131805101607,3.973783297390993,6.929726794282171,5.414769915649807,0.7813828851258062,0.5424807016125773,0.5031726144768218,0.19692034110657558,0.05213988484321863,0.2653338724001033,0.1965067044459203,1.888,2.346574605681372,123.60570095839996,290.049998986427,0.7753142302873541,0.5680375741912965,8.833094487323274,5.0175295651816265,0.5215939861779089,1->2
Setting 2,1,2,1,5,Acetone,445,1244,532,35.99255973528091,244.41544797334205,6.790721464963194,11.372515820259839,29.57701929120618,2.6007454954263944,9.520789795827854,7.184987398073472,0.7546629588673448,0.7965911970938584,0.8276352749852158,0.7742090479006504,0.07298096731788473,0.4083218558560875,0.17873392342634428,1.8719999999999999,2.373423217675516,118.44044355425825,281.109298643463,0.25038016389287826,0.5417598929874459,16.131323022376204,8.739303834348455,0.7793359804004394,1->2
